충전소명,주소,ID,충전기 형태,충전기 용량
(RS)대구시_매천역환승공영주차장,"대구광역시 북구 태전동 881-10(태전동, 매천역환승공영주차장) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_매천역환승공영주차장,"대구광역시 북구 태전동 881-10(태전동, 매천역환승공영주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_매천경로당,"대구 북구 매천로동17길 17(매천동, 경로당) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_만촌3동행정복지센터,"대구 수성구 교학로2길 45(만촌동, 만촌3동 행정복지센터)",01,AC완속(싱글),7
(RS)대구시_만촌2동행정복지센터,"대구 수성구 무열로 12(만촌동, 만촌2동 행정복지센터)",01,AC완속(싱글),7
(RS)대구시_두산오거리,대구광역시 수성구 두산동 954-13(두산동) 지상1층 도로변 주차장,03,AC완속(싱글),7
(RS)대구시_두산오거리,대구광역시 수성구 두산동 954-13(두산동) 지상1층 도로변 주차장,01,AC완속(싱글),7
(RS)대구시_두산오거리,대구광역시 수성구 두산동 954-13(두산동) 지상1층 도로변 주차장,04,AC완속(싱글),7
(RS)대구시_두산오거리,대구광역시 수성구 두산동 954-13(두산동) 지상1층 도로변 주차장,02,AC완속(싱글),7
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",03,AC완속(싱글),7
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",04,AC완속(싱글),7
(RS)대구시_두류공원1공영주차장,"대구 달서구 공원순환로 216(성당동, 공영주차장) 지상1층 주차장",02,AC완속(싱글),7
(RS)대구시_두류3동,"대구 달서구 야외음악당로39길 24(두류동, 두류3동행정복지센터) 지상1층 주차장",01,3Mode,100
(RS)대구시_두류 1.2동 행정복지센터,"대구 달서구 두류길 141-8(두류동, 행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_동촌유원지,"대구 동구 효동로6길 73(효목동, 동촌유원지) 지상1층 주차장",01,3Mode,50
(RS)대구시_동촌동 행정복지센터,"대구 동구 동촌로11길 5(입석동, 동촌동행정복지센터) 동촌동 행정복지센터",01,3Mode,50
(RS)대구시_동천동행정복지센터,"대구 북구 대천로 81(동천동, 동천동 행정복지센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_동인동 행정복지센터,"대구 중구 국채보상로142길 19-5(동인동4가, 동인동주민센터) 지상1층 주차장",01,AC완속(싱글),7
(RS)대구시_동림플라자,대구 북구 한강로8길 20(금호동) 지하1층 주차장,01,3Mode,100
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",03,AC완속(싱글),7
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",01,3Mode,50
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",04,AC완속(싱글),7
(RS)대구시_동대구복합환승센터,"대구 동구 동부로 149(신천동, 신세계동대구복합환승센터) 지상2층 주차장",02,AC완속(싱글),7
(RS)대구시_동구청,"대구 동구 아양로 207(신암동, 동구청) 지상1층 주차장",01,3Mode,50
